source,url,title,date,institution,doc_type,language
ec,https://digital-strategy.ec.europa.eu/sv/policies/regulatory-framework-ai,svsvenska,NA,European Commission,Discovered URL,EN
ec,https://ec.europa.eu/commission/presscorner/detail/en/ip_24_383,AI Innovation Package,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai#1720699867912-0,Risk-based Approach,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai#1720699867912-1,Compliance and enforcement,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai#1720699867912-2,Simplification of the AI Act,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/guidelines-scope-obligations-providers-general-purpose-ai-models-under-ai-act,Guidelines on the scope of the obligations for providers of GPAI models,2024-01-01,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/explanatory-notice-and-template-public-summary-training-content-general-purpose-ai-models,Template for the public summary of training content of GPAI models,2024-01-01,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/ai-act-governance-and-enforcement,Governance and enforcement of the AI Act,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/digital-omnibus-ai-regulation-proposal,AI omnibus,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/study-supporting-impact-assessment-ai-regulation,Study supporting the impact assessment,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/faqs/navigating-ai-act,Questions & Answers on the AI Act,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/ai-act-standardisation,Standardisation of the AI Act,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news/ai-continent-action-plan-delivers-major-milestones,AI Continent Action Plan delivers major milestones,2025-04-09,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news/joint-press-release-commission-and-kingdom-morocco-launch-digital-dialogue-strengthen-strategic,Joint press release by the Commission and the Kingdom of Morocco on the launch of a Digital Dialogue to strengthen strategic cooperation,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/draft-guidelines-implementation-transparency-obligations-certain-ai-systems-under-article-50-ai-act,Draft of the guidelines on the implementation of the transparency obligations for certain AI systems under Article 50 of the AI Act,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/commission-publishes-second-draft-code-practice-marking-and-labelling-ai-generated-content,Commission publishes second draft of Code of Practice on Marking and Labelling of AI-generated content,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/leaders-declaration-ai-impact-summit-india,Leaders’ Declaration at AI Impact Summit in India,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/related-content?topic=119&type=25,More,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/three-studies-various-aspects-article-5-ai-act,Three studies on various aspects of article 5 of the AI Act,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/three-studies-technical-solutions-mark-and-detect-ai-generated-content,Three studies on technical solutions to mark and detect AI-generated content,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/artificial-intelligence-cardiovascular-care-promise-practice,Artificial intelligence in cardiovascular care: from promise to practice,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/related-content?topic=119&type=28,More,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/commission-internal-use-artificial-intelligence,The Commission internal use of Artificial Intelligence,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/factsheet-international-digital-strategy-european-union,Factsheet on the International Digital Strategy for the European Union,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/factsheet-eu-us-trade-and-technology-council-2021-2024,Factsheet: EU-US Trade and Technology Council (2021-2024),NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/related-content?topic=119&type=21,More,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/rise-intelligent-edge-insights-metaos,The rise of the intelligent edge – Insights into MetaOS,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/living-repository-foster-learning-and-exchange-ai-literacy,Living repository to foster learning and exchange on AI literacy,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/horizon-europe-new-projects-ai-data-and-robotics-2024-edition,"Horizon Europe: new projects in AI, Data and Robotics - 2024 Edition",NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/related-content?topic=119&type=17,More,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/ai-talent-skills-and-literacy,"AI talent, skills and literacy",NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/ai-act-whistleblower-tool,AI Act Whistleblower Tool,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/node/9745/printable/pdf,Print as PDF,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/ai-continent-action-plan#main-content,Skip to main content,2025-04-09,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/bg/library/ai-continent-action-plan,bgбългарски,2025-04-09,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/es/library/ai-continent-action-plan,esespañol,2025-04-09,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/cs/library/ai-continent-action-plan,csčeština,2025-04-09,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/da/library/ai-continent-action-plan,dadansk,2025-04-09,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/de/library/ai-continent-action-plan,deDeutsch,2025-04-09,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/et/library/ai-continent-action-plan,eteesti,2025-04-09,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/el/library/ai-continent-action-plan,elελληνικά,2025-04-09,European Commission,Discovered URL,EN
